id,BidPrice,AcceptedBid,ExpectedRevenue,ExpectedConversion,Bid identifier
58998806,35,1,120.32,0.436,52.45952
58998858,35,1,301.06,0.375,112.8975
58998884,35,1,334.41,0.305,101.99505
58999014,35,0,212.88,0.219,46.62072
58999049,35,1,301.52,0.604,182.11808
58999079,,0,-111.2,0.385,-42.812
58999137,,0,-82.08,0.504,-41.36832
58999140,,0,30.4,0.373,11.3392
58999276,35,1,124.56,0.351,43.72056
58999303,,0,111.6,0.224,24.9984
58999325,,0,79.44,0.374,29.71056
58999340,35,1,488.16,0.175,85.428
58999400,,0,24,0.346,8.304
58999407,,0,-21.44,0.308,-6.60352
58999431,,0,-114,0.519,-59.166
58999539,,0,-60.16,0.312,-18.76992
58999620,35,1,348.19,0.252,87.74388
58999727,35,1,149.84,0.331,49.59704
58999736,35,1,211.52,0.425,89.896
58999869,,0,-114.96,0.536,-61.61856
58999862,35,1,158.56,0.397,62.94832
59000032,,0,-2,0.242,-0.484
59000094,35,1,168,0.29,48.72
59000119,,0,36.08,0.176,6.35008
59000133,35,1,399.49,0.169,67.51381
59000158,,0,-87.2,0.176,-15.3472
59000148,35,1,176.88,0.248,43.86624
59000231,75,1,402.64,0.492,198.09888
59000293,35,1,217.36,0.178,38.69008
59000306,75,1,409.81,0.343,140.56483
59000409,35,1,108.64,0.671,72.89744
59000482,,0,-92.32,0.235,-21.6952
59000525,,0,-21.04,0.41,-8.6264
59000660,,0,10.8,0.298,3.2184
59000735,35,1,93.28,0.393,36.65904
59000752,,0,129.76,0.215,27.8984
59000777,75,1,450.55,0.292,131.5606
59000793,,0,72.48,0.324,23.48352
59000856,,0,22.4,0.198,4.4352
59000878,35,1,258.32,0.427,110.30264
59000906,35,1,220.32,0.306,67.41792
59001013,,0,-126.56,0.465,-58.8504
59001009,,0,-23.12,0.326,-7.53712
59001030,,0,-31.76,0.552,-17.53152
59001106,35,0,380.33,0.227,86.33491
59001258,35,0,361.25,0.275,99.34375
59001270,35,1,111.92,0.329,36.82168
59001307,35,1,158.08,0.403,63.70624
59001342,,0,76.56,0.402,30.77712
59001438,,0,-109.6,0.382,-41.8672
59001445,35,1,132.48,0.564,74.71872
59001482,75,1,714.16,0.069,49.27704
59001605,35,1,210,0.343,72.03
59001624,,0,67.2,0.23,15.456
59001678,75,1,578.11,0.658,380.39638
59001748,35,1,151.84,0.302,45.85568
59001829,75,1,582.46,0.19,110.6674
59001859,,0,39.44,0.36,14.1984
59001918,35,1,387.48,0.223,86.40804
59001933,35,1,99.92,0.399,39.86808
59001977,35,1,385.12,0.219,84.34128
59001987,,0,-0.08,0.215,-0.0172
59002102,35,1,410.51,0.229,94.00679
59002114,,0,19.6,0.246,4.8216
59002123,35,0,206.72,0.195,40.3104
59002213,35,1,195.52,0.466,91.11232
59002380,,0,-53.12,0.552,-29.32224
59002588,,0,-2.08,0.534,-1.11072
59002641,,0,-22.16,0.473,-10.48168
59002647,75,1,710.89,0.35,248.8115
59002834,,0,-44.88,0.416,-18.67008
59002873,,0,23.76,0.247,5.86872
59002980,35,1,286.06,0.237,67.79622
59002994,,0,-8.32,0.511,-4.25152
59003043,,0,-70.48,0.263,-18.53624
59003104,,0,279,0.147,41.013
59003154,,0,-73.12,0.302,-22.08224
59003166,,0,-34.16,0.528,-18.03648
59003341,,0,-94.72,0.304,-28.79488
59003348,,0,54.16,0.284,15.38144
59003381,,0,-86.8,0.292,-25.3456
59003464,35,1,151.68,0.338,51.26784
59003517,,0,30.96,0.612,18.94752
59003508,35,1,121.6,0.31,37.696
59003771,,0,122.08,0.251,30.64208
59003780,35,1,292.68,0.238,69.65784
59003873,,0,49.52,0.296,14.65792
59003913,35,1,140.56,0.305,42.8708
59003931,35,1,142.8,0.528,75.3984
59004036,75,1,333.81,0.507,169.24167
59004053,35,0,433.31,0.23,99.6613
59004072,,0,115.12,0.225,25.902
59004088,,0,74.32,0.393,29.20776
59004090,,0,-126.32,0.176,-22.23232
59004112,,0,60.8,0.446,27.1168
59004101,35,1,248.24,0.274,68.01776
59004157,,0,12.48,0.343,4.28064
59004162,,0,-20.96,0.448,-9.39008
59004223,35,1,155.44,0.489,76.01016
59004246,,0,33.12,0.413,13.67856
59004356,,0,96.8,0.296,28.6528
59004511,75,1,365.71,0.381,139.33551
59004617,,0,-70,0.431,-30.17
59004682,,0,-27.04,0.742,-20.06368
59004768,,0,75.44,0.248,18.70912
59004773,,0,-5.28,0.292,-1.54176
59004790,35,1,334.04,0.389,129.94156
59004924,75,1,589.58,0.26,153.2908
59004937,,0,-72.56,0.306,-22.20336
59005047,,0,49.68,0.553,27.47304
59005092,35,1,229.44,0.233,53.45952
59005195,35,0,344.54,0.319,109.90826
59005218,,0,-106.8,0.32,-34.176
59005244,35,1,143.76,0.455,65.4108
59005310,75,1,555.34,0.249,138.27966
59005349,,0,-86.8,0.335,-29.078
59005541,35,1,83.12,0.393,32.66616
59005568,,0,15.68,0.489,7.66752
59005665,,0,11.52,0.656,7.55712
59005691,,0,99.92,0.182,18.18544
59005741,,0,235.76,0.234,55.16784
59005803,,0,5.68,0.23,1.3064
59005815,,0,-20.16,0.265,-5.3424
59005817,35,0,290.4,0.252,73.1808
59005831,35,1,119.12,0.447,53.24664
59005930,,0,264.74,0.213,56.38962
59005939,,0,-85.2,0.474,-40.3848
59005991,,0,50.96,0.169,8.61224
59006055,,0,-56.8,0.38,-21.584
59006096,35,1,59.84,0.607,36.32288
59006103,75,1,381.05,0.48,182.904
59006113,35,0,136.64,0.295,40.3088
59006118,35,1,201.44,0.557,112.20208
59006132,35,1,378.17,0.263,99.45871
59006152,,0,-54.48,0.373,-20.32104
59006228,35,1,232.56,0.309,71.86104
59006265,,0,-56.4,0.372,-20.9808
59006288,,0,-87.6,0.557,-48.7932
59006335,75,1,677.38,0.356,241.14728
59006385,,0,-107.92,0.189,-20.39688
59006537,,0,-48.16,0.584,-28.12544
59006543,,0,44.8,0.409,18.3232
59006653,35,1,156.72,0.466,73.03152
59006738,75,1,407.52,0.319,129.99888
59006758,35,1,446.06,0.175,78.0605
59006971,,0,131.44,0.126,16.56144
59007030,35,0,303.78,0.327,99.33606
59007142,,0,-83.04,0.533,-44.26032
59007169,,0,-102.4,0.424,-43.4176
59007342,,0,67.44,0.319,21.51336
59007375,,0,141.2,0.21,29.652
59007459,75,1,631.23,0.526,332.02698
59007580,,0,-46.32,0.177,-8.19864
59007609,,0,-120,0.389,-46.68
59007683,,0,55.04,0.241,13.26464
59007807,75,1,410.72,0.333,136.76976
59007845,,0,-35.04,0.404,-14.15616
59007846,,0,-105.12,0.526,-55.29312
59008072,35,1,144.72,0.631,91.31832
59008156,,0,34.8,0.418,14.5464
59008191,,0,65.44,0.238,15.57472
59008263,,0,55.28,0.347,19.18216
59008434,35,0,336.9,0.435,146.5515
59008457,,0,91.6,0.317,29.0372
59008467,35,1,360.15,0.271,97.60065
59008596,,0,-116,0.575,-66.7
59008764,,0,-69.44,0.246,-17.08224
59008871,,0,-129.04,0.681,-87.87624
59008920,,0,-102.72,0.379,-38.93088
59008963,,0,108.72,0.217,23.59224
59009008,35,1,88.48,0.404,35.74592
59009132,35,1,71.36,0.458,32.68288
59009168,35,1,156.56,0.366,57.30096
59009178,35,1,348.34,0.189,65.83626
59009216,35,1,152.4,0.413,62.9412
59009232,75,1,535.54,0.347,185.83238
59009269,,0,-51.44,0.22,-11.3168
59009332,,0,-97.2,0.622,-60.4584
59009350,,0,9.2,0.412,3.7904
59009404,,0,-126.88,0.39,-49.4832
59009590,,0,-1.36,0.216,-0.29376
59009609,,0,-65.52,0.482,-31.58064
59009821,35,0,123.6,0.407,50.3052
59009927,75,1,698.97,0.174,121.62078
59010030,,0,-37.6,0.378,-14.2128
59010131,,0,13.92,0.366,5.09472
59010271,,0,-116.08,0.434,-50.37872
59010378,,0,184.24,0.433,79.77592
59010454,,0,-41.04,0.365,-14.9796
59010465,,0,-90.08,0.506,-45.58048
59010480,,0,46.24,0.2,9.248
59010510,,0,55.36,0.236,13.06496
59010637,,0,-48.96,0.559,-27.36864
59010808,,0,-25.04,0.529,-13.24616
59010815,,0,-20.88,0.513,-10.71144
59010880,35,0,368.19,0.342,125.92098
59010895,35,1,442.15,0.2,88.43
59010919,,0,2.56,0.446,1.14176
59010984,,0,-51.6,0.414,-21.3624
59011005,,0,52.56,0.218,11.45808
59011183,,0,-118.08,0.248,-29.28384
59011282,75,1,619.23,0.455,281.74965
59011290,35,1,303.63,0.542,164.56746
59011328,,0,-84.56,0.289,-24.43784
59011356,,0,156.48,0.156,24.41088
59011369,,0,-129.92,0.313,-40.66496
59011423,35,1,227.52,0.277,63.02304
59011460,35,1,163.12,0.411,67.04232
59011503,,0,89.6,0.262,23.4752
59011508,,0,-57.68,0.329,-18.97672
59011534,75,1,496.89,0.545,270.80505
59011614,,0,-29.04,0.218,-6.33072
59011674,,0,-53.68,0.232,-12.45376
59011678,35,1,296.84,0.384,113.98656
59011863,,0,-27.04,0.208,-5.62432
59011867,,0,-131.12,0.251,-32.91112
59011905,,0,87.76,0.36,31.5936
59011953,35,0,219.36,0.346,75.89856
59012242,,0,52.96,0.525,27.804
59012466,,0,130.48,0.254,33.14192
59012592,35,1,171.92,0.26,44.6992
59012605,,0,-94.08,0.191,-17.96928
59012717,35,1,143.6,0.359,51.5524
59012826,,0,-67.84,0.419,-28.42496
59012841,,0,51.6,0.34,17.544
59012843,35,0,102.32,0.335,34.2772
59012872,,0,-122.08,0.151,-18.43408
59012867,35,0,204.88,0.258,52.85904
59012918,,0,-85.92,0.404,-34.71168
59012987,,0,-6.56,0.551,-3.61456
59012995,,0,-1.04,0.495,-0.5148
59013031,3,1,196.4,0.168,32.9952
59013215,,0,-41.6,0.198,-8.2368
59013344,,0,-101.2,0.286,-28.9432
59013366,,0,21.12,0.397,8.38464
59013447,35,1,264.64,0.62,164.0768
59013471,,0,128.64,0.376,48.36864
59013503,35,1,198.8,0.374,74.3512
59013539,75,1,572.16,0.224,128.16384
59013571,,0,-107.12,0.246,-26.35152
59013590,,0,-25.68,0.292,-7.49856
59013605,,0,121.12,0.209,25.31408
59013676,75,1,373.34,0.365,136.2691
59013845,,0,74.4,0.175,13.02
59013878,,0,-100.48,0.447,-44.91456
59013917,,0,-45.6,0.414,-18.8784
59013890,,0,8.4,0.247,2.0748
59013944,,0,-67.28,0.408,-27.45024
59013950,,0,-12.96,0.202,-2.61792
59014057,,0,-72.96,0.381,-27.79776
59014178,35,0,265.04,0.189,50.09256
59014240,,0,-23.92,0.296,-7.08032
59014273,,0,-53.28,0.205,-10.9224
59014253,35,1,282.02,0.448,126.34496
59014368,,0,-33.68,0.35,-11.788
59014426,35,1,188.56,0.238,44.87728
59014506,,0,-42.88,0.812,-34.81856
59014545,,0,-93.36,0.445,-41.5452
59014567,,0,-123.84,0.248,-30.71232
59014602,,0,-20.96,0.233,-4.88368
59014617,,0,-108.08,0.197,-21.29176
59014613,35,0,151.52,0.339,51.36528
59014619,75,1,548.38,0.292,160.12696
59014697,,0,-105.6,0.263,-27.7728
59014879,,0,-78.08,0.255,-19.9104
59014888,75,1,656.62,0.44,288.9128
59014928,,0,-8.72,0.45,-3.924
59014956,35,1,222.88,0.316,70.43008
59015127,35,0,218.56,0.588,128.51328
59015160,,0,12.4,0.251,3.1124
59015180,,0,38.08,0.21,7.9968
59015179,35,0,431.36,0.214,92.31104
59015199,35,0,257.52,0.3,77.256
59015244,75,1,579.92,0.593,343.89256
59015256,,0,15.52,0.254,3.94208
59015267,,0,68.32,0.261,17.83152
59015358,,0,-74.48,0.322,-23.98256
59015609,,0,-18.48,0.459,-8.48232
59015778,35,1,242.56,0.463,112.30528
59015850,,0,23.2,0.214,4.9648
59015922,,0,-93.04,0.455,-42.3332
59016016,75,1,493.69,0.639,315.46791
59016134,,0,-6,0.226,-1.356
59016207,,0,106,0.272,28.832
59016310,35,0,357.73,0.256,91.57888
59016305,35,0,348.78,0.263,91.72914
59016318,,0,58.64,0.088,5.16032
59016354,35,1,148.48,0.512,76.02176
59016436,35,0,362.28,0.219,79.33932
59016484,75,1,700.63,0.155,108.59765
59016481,50,1,474.43,0.206,97.73258
59016518,35,1,234.64,0.23,53.9672
59016535,,0,-47.04,0.677,-31.84608
59016679,,0,13.76,0.374,5.14624
59016766,35,1,202.08,0.241,48.70128
59016789,35,1,205.84,0.193,39.72712
59016916,,0,-37.12,0.179,-6.64448
59016901,35,1,80.08,0.548,43.88384
59016969,35,1,305.02,0.607,185.14714
59017055,,0,-4.88,0.449,-2.19112
59017083,,0,-37.52,0.384,-14.40768
59017133,,0,34.4,0.279,9.5976
59017182,,0,24.96,0.351,8.76096
59017209,,0,-65.44,0.403,-26.37232
59017236,75,1,378.89,0.384,145.49376
59017293,35,1,236.96,0.27,63.9792
59017387,,0,-105.36,0.235,-24.7596
59017405,,0,29.12,0.278,8.09536
59017411,35,0,484.03,0.103,49.85509
59017503,35,1,233.6,0.545,127.312
59017580,,0,-18.96,0.381,-7.22376
59017592,,0,25.36,0.25,6.34
59017622,,0,-92.32,0.17,-15.6944
59017751,,0,-30.4,0.181,-5.5024
59017776,35,1,180.8,0.339,61.2912
59017816,,0,9.76,0.247,2.41072
59017863,35,1,243.84,0.265,64.6176
59017900,,0,-27.76,0.276,-7.66176
59017925,35,0,289.61,0.274,79.35314
59018083,,0,-90.96,0.445,-40.4772
59018089,,0,144.8,0.207,29.9736
59018239,,0,177.2,0.157,27.8204
59018304,,0,19.92,0.217,4.32264
59018341,,0,-78.96,0.32,-25.2672
59018441,,0,58.32,0.264,15.39648
59018449,,0,51.36,0.426,21.87936
59018464,35,1,128.48,0.283,36.35984
59018523,,0,-17.6,0.307,-5.4032
59018542,,0,-62.56,0.417,-26.08752
59018555,,0,-108,0.31,-33.48
59018642,,0,29.28,0.31,9.0768
59018715,,0,-41.6,0.318,-13.2288
59018720,35,1,306.96,0.353,108.35688
59018790,35,1,275.57,0.264,72.75048
59018840,,0,-118.32,0.443,-52.41576
59018874,,0,72.4,0.307,22.2268
59018890,,0,-8.88,0.395,-3.5076
59018894,50,1,456.97,0.238,108.75886
59018916,35,1,375.51,0.273,102.51423
59018967,,0,-54.24,0.236,-12.80064
59019044,75,1,486.22,0.336,163.36992
59019094,35,1,148.16,0.289,42.81824
59019096,35,1,102.16,0.389,39.74024
59019386,,0,-70.8,0.47,-33.276
59019417,,0,-54.96,0.658,-36.16368
59019427,,0,-22.24,0.219,-4.87056
59019514,,0,-7.04,0.275,-1.936
59019597,35,0,329.04,0.27,88.8408
59019601,75,1,314.38,0.533,167.56454
59019624,35,1,228.4,0.259,59.1556
59019720,,0,-118.32,0.317,-37.50744
59019780,,0,-54.64,0.246,-13.44144
59019757,35,1,101.28,0.774,78.39072
59019841,,0,-88.96,0.308,-27.39968
59019864,35,1,53.36,0.556,29.66816
59019905,,0,-10.16,0.301,-3.05816
59019903,75,1,637.76,0.25,159.44
59020022,,0,140.56,0.192,26.98752
59020126,,0,83.2,0.162,13.4784
59020154,35,1,293.86,0.331,97.26766
59020200,35,1,234.24,0.235,55.0464
59020274,35,1,344.76,0.286,98.60136
59020349,,0,-75.76,0.197,-14.92472
59020409,,0,-41.12,0.547,-22.49264
59020464,35,1,242.8,0.389,94.4492
59020499,,0,-3.2,0.27,-0.864
59020577,,0,6.72,0.325,2.184
59020672,,0,-93.52,0.389,-36.37928
59020664,75,1,444.21,0.312,138.59352
59020707,35,0,89.92,0.639,57.45888
59020824,,0,20,0.358,7.16
59020888,75,1,521.16,0.462,240.77592
59020918,,0,65.52,0.407,26.66664
59020945,,0,-77.44,0.446,-34.53824
59020964,,0,-15.12,0.245,-3.7044
59021036,35,0,240.4,0.547,131.4988
59021110,,0,116.72,0.245,28.5964
59021135,,0,-1.2,0.25,-0.3
59021125,35,1,192.96,0.277,53.44992
59021197,,0,58.8,0.252,14.8176
59021202,,0,-118,0.313,-36.934
59021254,,0,-106.4,0.236,-25.1104
59021246,75,1,598.84,0.408,244.32672
59021276,50,1,385.91,0.313,120.78983
59021450,,0,7.6,0.231,1.7556
59021509,35,1,156.32,0.39,60.9648
59021515,35,1,251.44,0.384,96.55296
59021520,75,1,820,0.371,304.22
59021595,,0,-34.24,0.543,-18.59232
59021633,,0,-125.6,0.343,-43.0808
59021638,35,1,329.12,0.362,119.14144
59021651,35,1,229.12,0.253,57.96736
59021670,,0,21.76,0.276,6.00576
59021698,,0,44.88,0.345,15.4836
59021753,,0,-118.96,0.255,-30.3348
59021820,,0,115.2,0.258,29.7216
59021875,35,1,163.04,0.45,73.368
59021894,,0,11.12,0.252,2.80224
59021935,75,1,443.81,0.313,138.91253
59022172,35,1,124,0.393,48.732
59022432,,0,-9.84,0.236,-2.32224
59022465,75,1,563.74,0.226,127.40524
59022549,,0,49.12,0.32,15.7184
59022659,35,1,74.88,0.706,52.86528
59022738,,0,118.72,0.279,33.12288
59022967,35,1,134.48,0.261,35.09928
59022988,75,1,429.6,0.499,214.3704
59023050,35,1,111.12,0.55,61.116
59023167,,0,-53.28,0.273,-14.54544
59023248,35,1,137.04,0.388,53.17152
59023337,35,1,133.68,0.688,91.97184
59023406,35,1,122.64,0.511,62.66904
59023441,35,1,334.41,0.185,61.86585
59023472,75,1,479.31,0.41,196.5171
59023571,,0,97.28,0.266,25.87648
59023656,,0,13.52,0.379,5.12408
59023680,35,1,141.52,0.506,71.60912
59023731,,0,1.6,0.225,0.36
59023749,,0,-102.08,0.383,-39.09664
59023768,,0,-37.12,0.375,-13.92
59023806,50,0,564.99,0.096,54.23904
59023817,35,1,232.48,0.423,98.33904
59023947,35,1,389.61,0.257,100.12977
59024014,,0,-20.8,0.37,-7.696
59024025,35,0,165.76,0.266,44.09216
59024034,,0,94.16,0.305,28.7188
59024084,,0,85.28,0.277,23.62256
59024138,,0,-32.16,0.426,-13.70016
59024211,35,1,67.44,0.535,36.0804
59024254,,0,1.84,0.724,1.33216
59024255,75,1,371.46,0.48,178.3008
59024280,35,1,244,0.416,101.504
59024345,,0,26.72,0.381,10.18032
59024429,,0,-0.64,0.434,-0.27776
59024456,35,1,361.25,0.209,75.50125
59024518,35,1,81.6,0.597,48.7152
59024522,3,0,268.2,0.12,32.184
59024545,35,1,323.95,0.331,107.22745
59024735,,0,-41.04,0.291,-11.94264
59024752,,0,-58.72,0.176,-10.33472
59024937,35,0,266.11,0.141,37.52151
59025016,,0,-58.08,0.197,-11.44176
59025059,,0,9.36,0.205,1.9188
59025202,3,0,337.95,0.196,66.2382
59025279,,0,35.04,0.289,10.12656
59025415,,0,74.08,0.276,20.44608
59025614,,0,25.04,0.285,7.1364
59025728,,0,-120.08,0.139,-16.69112
59025762,35,0,252.64,0.48,121.2672
59025828,,0,-84.96,0.498,-42.31008
59025918,,0,71.52,0.323,23.10096
59025939,,0,-30.16,0.592,-17.85472
59026322,35,1,307.82,0.206,63.41092
59026360,75,1,797.18,0.497,396.19846
59026432,,0,-86.08,0.381,-32.79648
59026542,,0,-56.88,0.443,-25.19784
59026624,35,0,192.4,0.523,100.6252
59026631,,0,-55.6,0.133,-7.3948
59026774,,0,4.48,0.323,1.44704
59026824,,0,-35.28,0.321,-11.32488
59026876,35,1,231.76,0.389,90.15464
59026902,,0,-45.76,0.505,-23.1088
59026955,75,1,420.9,0.323,135.9507
59027070,,0,69.6,0.35,24.36
59027074,,0,-74.96,0.719,-53.89624
59027086,,0,115.52,0.187,21.60224
59027106,,0,-122.64,0.374,-45.86736
59027156,,0,-62,0.535,-33.17
59027202,,0,201.92,0.171,34.52832
59027222,,0,-128,0.297,-38.016
59027234,,0,32.88,0.331,10.88328
59027279,,0,-42.56,0.457,-19.44992
59027267,35,0,370.44,0.254,94.09176
59027265,75,1,702.94,0.387,272.03778
59027435,,0,-45.2,0.326,-14.7352
59027487,,0,4.08,0.28,1.1424
59027548,,0,-121.28,0.557,-67.55296
59027577,,0,5.04,0.225,1.134
59027595,,0,120.48,0.256,30.84288
59027694,,0,25.68,0.424,10.88832
59027715,,0,154.48,0.256,39.54688
59027755,75,1,703.08,0.258,181.39464
59027850,,0,67.52,0.195,13.1664
59027888,,0,25.44,0.141,3.58704
59027923,35,1,243.36,0.341,82.98576
59027966,,0,-97.28,0.272,-26.46016
59028092,,0,-33.92,0.39,-13.2288
59028230,,0,78.72,0.247,19.44384
59028241,,0,82.64,0.279,23.05656
59028257,35,1,160.56,0.346,55.55376
59028293,50,1,408.15,0.279,113.87385
59028323,35,1,396.05,0.199,78.81395
59028357,,0,29.12,0.348,10.13376
59028349,35,1,364.69,0.289,105.39541
59028578,,0,21.52,0.215,4.6268
59028569,35,1,264.16,0.299,78.98384
59028603,,0,93.2,0.09,8.388
59028676,,0,-120.32,0.365,-43.9168
59028692,35,1,295.11,0.473,139.58703
59028734,35,0,358.17,0.277,99.21309
59028773,35,1,149.44,0.29,43.3376
59028783,35,1,128.64,0.298,38.33472
59028892,,0,92.72,0.335,31.0612
59028942,35,1,233.68,0.228,53.27904
59028949,3,0,203.84,0.172,35.06048
59028959,35,1,182.24,0.423,77.08752
59028992,,0,4.24,0.448,1.89952
59028977,50,1,365.06,0.37,135.0722
59029012,,0,-127.84,0.312,-39.88608
59029038,35,1,300.43,0.261,78.41223
59029042,35,1,244.4,0.337,82.3628
59029234,35,0,265.04,0.326,86.40304
59029296,,0,24.72,0.226,5.58672
59029386,35,0,243.76,0.3,73.128
59029407,,0,-84.16,0.425,-35.768
59029425,75,1,464.3,0.596,276.7228
59029469,35,1,81.36,0.602,48.97872
59029605,35,1,181.52,0.455,82.5916
59029684,,0,159.92,0.206,32.94352
59029675,75,1,404.74,0.402,162.70548
59029874,35,0,78.48,0.421,33.04008
59029896,,0,86.4,0.341,29.4624
59029919,35,0,307.58,0.377,115.95766
59029953,,0,38.8,0.163,6.3244
59029985,75,1,787.88,0.14,110.3032
59030084,35,0,387.62,0.216,83.72592
59030155,,0,57.28,0.444,25.43232
59030161,35,0,299.18,0.357,106.80726
59030254,75,1,676.64,0.28,189.4592
59030309,35,1,144,0.381,54.864
59030324,,0,16,0.358,5.728
59030553,,0,-108.48,0.361,-39.16128
59030558,,0,20.8,0.603,12.5424
59030649,,0,-130.64,0.48,-62.7072
59030719,75,1,619.81,0.289,179.12509
59030752,,0,20.64,0.377,7.78128
59030804,,0,12.4,0.281,3.4844
59030860,,0,-69.52,0.216,-15.01632
59030884,,0,-98.8,0.374,-36.9512
59030877,,0,196.8,0.238,46.8384
59030919,,0,-97.68,0.493,-48.15624
59030946,35,0,321.05,0.116,37.2418
59030972,,0,-62.88,0.252,-15.84576
59030988,35,1,307.12,0.374,114.86288
59031003,35,0,266.96,0.447,119.33112
59031098,75,1,620.54,0.287,178.09498
59031125,35,1,223.76,0.301,67.35176
59031281,35,1,162.56,0.35,56.896
59031436,35,1,94.88,0.366,34.72608
59031453,75,1,733.48,0.337,247.18276
59031520,,0,40.4,0.305,12.322
59031516,35,1,318.06,0.394,125.31564
59031647,,0,-65.92,0.307,-20.23744
59031674,,0,70.16,0.421,29.53736
59031775,35,0,74.56,0.469,34.96864
59031786,,0,-62.48,0.374,-23.36752
59031823,,0,-39.76,0.262,-10.41712
59031887,,0,-119.36,0.385,-45.9536
59031922,,0,-82.96,0.355,-29.4508
59032059,35,0,190.88,0.55,104.984
59032085,,0,-12.08,0.282,-3.40656
59032119,,0,-72.48,0.413,-29.93424
59032161,,0,34.96,0.67,23.4232
59032314,,0,44.64,0.485,21.6504
59032533,75,1,567.45,0.392,222.4404
59032736,,0,51.92,0.215,11.1628
59032745,75,1,417.95,0.364,152.1338
59032754,,0,-48.32,0.424,-20.48768
59032765,,0,13.92,0.571,7.94832
59032763,75,1,536.35,0.339,181.82265
59032821,35,1,127.6,0.44,56.144
59032852,,0,12.72,0.129,1.64088
59033077,35,1,322.12,0.197,63.45764
59033096,,0,23.84,0.455,10.8472
59033110,,0,29.52,0.333,9.83016
59033138,,0,-51.44,0.405,-20.8332
59033140,75,1,463.07,0.435,201.43545
59033158,,0,21.2,0.67,14.204
59033178,35,1,119.92,0.548,65.71616
59033226,,0,59.52,0.467,27.79584
59033253,75,1,501.8,0.318,159.5724
59033308,,0,-85.12,0.448,-38.13376
59033328,,0,15.36,0.237,3.64032
59033376,75,1,457.1,0.28,127.988
59033377,35,0,242.48,0.371,89.96008
59033410,,0,31.44,0.572,17.98368
59033460,,0,117.84,0.6,70.704
59033474,35,1,93.44,0.456,42.60864
59033530,,0,-131.2,0.26,-34.112
59033601,,0,84.56,0.183,15.47448
59033603,35,1,178.56,0.381,68.03136
59033616,75,1,489.84,0.231,113.15304
59033617,35,1,111.12,0.447,49.67064
59033719,35,1,126.16,0.321,40.49736
59033717,35,1,221.28,0.61,134.9808
59033952,75,1,583.98,0.272,158.84256
59033959,35,0,306.03,0.189,57.83967
59033969,35,0,223.36,0.777,173.55072
59033970,75,1,374.86,0.482,180.68252
59033992,,0,-119.04,0.42,-49.9968
59034010,,0,76.64,0.268,20.53952
59034018,,0,145.36,0.313,45.49768
59034025,35,1,86.8,0.445,38.626
59034029,35,1,66.08,0.578,38.19424
59034035,75,1,657.8,0.308,202.6024
59034060,75,1,616.21,0.336,207.04656
59034127,,0,117.2,0.249,29.1828
